To4;Ti4;qi4
17.362;17.814;-16.03692072
17.3705;18.0725;-23.42153754
17.3615;18.344;-28.35618727
17.354;18.474;-29.63491164
17.366;18.5855;-29.33524276
17.3895;18.691;-27.85537654
17.3885;18.652;-25.81779444
17.3875;18.652;-23.71195419
17.3975;18.6315;-21.75021061
17.4355;18.607;-19.99884359
17.4445;18.5845;-18.45464944
17.4595;18.527;-17.09371417
17.479;18.4995;-15.90033438
17.483;18.4485;-14.84376851
17.5205;18.4125;-13.90445296
17.532;18.3995;-13.06451351
17.509;18.362;-12.32247961
17.5125;18.3525;-11.65528634
17.546;18.3155;-11.06022018
17.533;18.3015;-10.53032226
17.5555;18.2655;-10.04864622
17.567;18.2655;-9.620163923
17.572;18.2325;-9.233863729
17.563;18.216;-8.88086105
17.541;18.2155;-8.567799633
17.559;18.1975;-8.279413741
17.5845;18.205;-8.023966479
17.576;18.178;-7.791479096
17.566;18.159;-7.581583955
17.5635;18.1645;-7.39075348
17.5805;18.0995;-7.220659549
17.562;18.0875;-7.100608176
17.555;18.088;-7.013705513
17.544;18.0655;-6.942637552
17.553;18.079;-6.88580244
17.5415;17.9965;-6.834858292
17.5345;18.0305;-6.78411547
17.5355;18.0205;-6.739333638
17.551;18.0825;-6.701204307
17.5535;18.058;-6.661403097
17.5325;18.019;-6.624744319
17.5375;18.0695;-6.595875968
17.5235;18.0045;-6.561886943
17.5285;18.0205;-6.536090998
17.524;18.008;-6.508763226
17.5335;18.006;-6.488087955
17.536;18.055;-6.465031789
17.52;17.9745;-6.442535834
17.518;18.009;-6.419339616
17.5285;18.0165;-6.404826661
17.5115;17.9575;-6.387241301
17.502;17.971;-6.371537899
17.5145;17.956;-6.354442724
17.5185;17.972;-6.338109084
17.509;17.973;-6.327876488
17.505;18.008;-6.313372287
17.5;18.017;-6.30124898
17.503;18.061;-6.295007884
17.511;18.005;-6.285265473
17.507;17.9705;-6.277422525
17.4985;17.9845;-6.271601587
17.512;18.0175;-6.267400008
17.5055;17.912;-6.226679703
17.4855;17.9785;-6.169494459
17.5055;17.957;-6.127443654
17.482;17.964;-6.145939356
17.4855;17.869;-6.227239913
17.482;17.918;-6.370487504
17.489;17.9455;-6.550183794
17.484;17.947;-6.753767813
17.4945;17.9585;-6.964153138
17.475;17.992;-7.162353884
17.4795;17.9735;-7.34688199
17.4885;17.964;-7.52271808
17.4805;17.956;-7.677598793
17.4835;17.9355;-7.818465489
17.4905;18.0195;-7.954789228
17.506;18.031;-8.071549363
17.5385;17.989;-8.179757534
17.5115;18.084;-8.274651951
17.5205;17.976;-8.367786956
17.524;18.069;-8.453359119
17.5505;18.0425;-8.525687555
17.525;18.0725;-8.594716
17.526;18.1025;-8.658912629
17.532;18.122;-8.717568425
17.5455;18.118;-8.771322379
17.568;18.1215;-8.823535754
17.553;18.156;-8.869508033
17.5795;18.144;-8.914850075
17.5805;18.146;-8.950239626
17.5855;18.1425;-8.983887273
17.6;18.147;-9.016335719
17.5875;18.173;-9.044643859
17.579;18.1615;-9.071980384
17.597;18.1705;-9.096016918
17.588;18.1855;-9.115571768
17.6025;18.153;-9.136877276
17.6135;18.1995;-9.155302951
17.617;18.1845;-9.166445889
17.6195;18.2;-9.182009239
17.624;18.235;-9.195252967
17.6365;18.21;-9.207586352
17.6385;18.214;-9.217118685
17.6455;18.214;-9.228681781
17.65;18.2;-9.231062676
17.6515;18.221;-9.241575377
17.6555;18.2705;-9.244866614
17.665;18.255;-9.251387815
17.6615;18.275;-9.252578263
17.673;18.2445;-9.256298411
17.6705;18.2565;-9.252578263
17.6885;18.2295;-9.252578263
17.6865;18.244;-9.257558885
17.692;18.307;-9.280685077
17.696;18.2855;-9.315934576
17.709;18.273;-9.362677145
